source_id	source_domain	author_id	author_name	title	body
1737	Complex	973106	Gavin Evans	British Prime Minister Boris Johnson Hospitalized 10 Days After COVID-19 Diagnosis	"On Sunday, British Prime Minister Boris Johnson was hospitalized ""for tests"" because of ""persistent"" COVID-19 symptoms 10 days after he tested positive, CNN reports. 
Johnson reportedly went to the unspecified London hospital after his doctor advised him to do so. A press release from his office called the move ""precautionary."" 
On March 26, Johnson revealed he had tested positive and that he had been dealing with symptoms since that date. Britain had gone into lockdown two days earlier.
Since the 26th, Johnson has been quarantined at his Downing Street residence. He is the first known world leader to have contracted the virus. 
Roughly a month ago, right around the time the U.K. started dealing with an outbreak, Johnson garnered media coverage for saying he'd shook hands with coronavirus patients during a hospital visit.  
""I shook hands with everybody, you will be pleased to know, and I continue to shake hands,"" Johnson said during a press conference that took place on March 3. His positive test was registered 23 days later. 
On Saturday, Johnson's fiancée, Carrie Symonds, tweeted out that she'd spent a week in bed with coronavirus symptoms. She had not officially been tested for the disease, but said she felt ""stronger"" and ""on the mend"" following the week of rest:"
433	SBS	940858	Australia	NSW coronavirus death toll hits 18 as cases rise to 2637	"NSW has now recorded 18 COVID-19 deaths as the state's total number of cases rises to 2637.

NSW Health said on Monday the state had recorded 57 new cases - a drop on the previous day which was partly explained by fewer tests being done over the weekend.

The death toll rose to 18 after the deaths of an 86-year-old man and an 85-year-old man on Sunday.

It comes after NSW Police Commissioner Mick Fuller on Sunday announced an investigation into the circumstances surrounding the docking and disembarkation of passengers from the ill-fated Ruby Princess cruise ship.

The investigation - led by the NSW police homicide squad - aims to identify how passengers were allowed to disembark from the ship in Sydney, which is linked to 622 COVID-19 cases and at least 11 deaths across the country.

""The only way I can get to the bottom of whether our national biosecurity laws and our state laws were broken is through a criminal investigation,"" Mr Fuller said.

Mr Fuller told reporters transparency regarding patient health on board the cruise ship was a key question for the investigation.

The ship will dock in Port Kembla, near Wollongong on Monday.

It's expected to spend up to 10 days docked for medical assessments, treatment or emergency extractions of the crew, NSW Police say.

The investigation will cover the actions of the port authority, ambulance, police, the NSW Health department and Carnival Australia.

The NSW government on Sunday urged young people to take the COVID-19 pandemic seriously, revealing more than a quarter of the state's current coronavirus cases are in people aged under 29."
460	Hindustan Times	941178	Ht Correspondent	Industry in Chandigarh will need major impetus by government post lockdown, say businessmen	ChandigarhWith shops and manufacturing units closed due to the curfew imposed to stop the spread of coronavirus disease (Covid-19), traders fear economic recovery will be difficult.It is for the first time that all business activity, trading and manufacturing, has been shut down in the city.“There is great uncertainty among businessmen as to what the future holds. People have even stopped planning how to manage the after-effects of the shutdown. We also don’t know for how long businesses will remain disturbed because of the Covid-19 pandemic,” said Neeraj Bajaj of the Chandigarh Business Council.In the city’s industrial area, more than 30,000 are employed in manufacturing and service units.“Beyond the short-term struggle, the industry will need major impetus from the government in the short and long term. There should be moratorium period or extension of six months for payment of liabilities including utility bills, taxes and duties to the government,” said Pankaj Khanna, president, industries association, Chandigarh.Industry is also seeking for loans accounts, which become non-performing assets (NPA) during lockdown, to not be considered wilful defaulters.“Stimulus package for MSMEs (micro, small and medium enterprises) should be considered for the financial year 2020-2021. Financial support for unorganized sectors will also be required,” Khanna said.Chandigarh Beopar Mandal wrote to Prime Minister Narendra Modi and Punjab governor and UT administrator VP Singh Badnore on Friday, seeking help, as they struggle to deal with the acute economic crisis caused by the pandemic.“We request the government to allow us to pay our employees ₹4,000 to ₹5,000 per month as ration cost till the lockdown continues,” the traders’ body stated in its communiqué.“Most of our traders have taken overdraft/CC limits or term loans in order to run their businesses. When there isno business activity, paying these interests is also a big challenge,” said Charanjiv Singh, chairman of the Chandigarh Beopar Mandal.FACTORY WORKERS ISSUED CURFEW PASSES TO FACILITATE WAGE DISBURSEMENT TO LABOURTo resolve the issue of payment of wages to more than 25,000 factory workers in the city, the UT administration has started issuing curfew passes to factory officials to allow them to disburse wages.“So far, we have issued 120 curfew passes for factory officials. In case there are any problems regarding this, we are taking them up on priority basis,” said Harjit Singh Sandhu, director, industries.Due to restrictions on movement imposed because of the curfew, both factory owners and workers have been facing problems with the disbursement of wages. Various industry associations had taken up the issue with the administration.The UT labour department, too, has contacted industrialists and factory owners regarding payment of wages to the labourers. “Around 10,000 labourers have already received their salaries. Efforts are being made to ensure that the remaining labour is paid wages at the earliest,” said a senior UT official, wishing not to be named.Meanwhile, household workers like maids, gardeners, etc are finding it difficult to collect their monthly salaries because of curfew restrictions. “The administration should devise a plan that allows household workers to collect their salaries from houses of their employers. They are not able to visit their workplaces and they don’t have curfew passes either. This is causing them a great deal of hardship,” said RK Garg, a city based social activist.
460	Hindustan Times	1588290	Amanjeet Singh Salyal	Coronavirus in Chandigarh: Follow advisories, one cannot be too careful, says 23-year-old discharged patient	Chandigarh The 23-year-old man, discharged from the isolation ward of Government Medical College and Hospital (GMCH), Sector 32, after two weeks of treatment, is elated to be home.“I am feeling perfectly fine,” he said, as he arrived at his house in Sector 19 around 6pm. Son of a senior UT official, the youth had tested positive for Covid-19 on March 22 after he came in contact with the brother of Chandigarh’s first coronavirus patient, a 23-year-old woman from Sector 21.“One cannot be too careful. Though I did not have severe symptoms, all of us, even the young, are not immune to it. Advisories for social distancing and hand washing should be followed religiously,” he said.“During the course of my stay at the hospital, I learnt that there is nothing to be afraid of, but we need to be careful. My morale was high and I was confident of quick recovery,” he said, while adding that those affected by the disease should not lose hope as recovery was possible.The youth reported to the hospital after his fever rose, alerting him that he could be infected. “In isolation, even though I was not allowed to move out, I spent my days reading and talking to my friends. The doctors, nurses and the supporting staff were immensely helpful,” he said.The 25-year-old brother of the city’s first positive patient was also discharged from GMCH on Saturday. He had tested positive on March 20 after coming in contact with his sister, who flew back from the United Kingdom on March 15 and tested positive on March 18. Their mother, who had also contracted the infection, was discharged on Saturday.On his recovery, the youth said following the instructions of the doctors was vital to get cured at the earliest. “Different bodies react to the virus differently. I did not have many symptoms, while other positive patients had cough and fever. So, precautions are a must to contain the spread of the virus,” he said.
460	Hindustan Times	941178	Ht Correspondent	Crackers sound jarring note as Chandigarh tricity lights up on PM Modi’s solemn plea	CHANDIGARH The stillness which had become so much a part of the tricity over the last two weeks was shattered by exploding firecrackers on Monday night as people in their enthusiasm to follow Prime Minister Narendra Modi’s solemn call for a candlelight vigil to unite to fight the coronavirus epidemic exceeded their brief to keep things low-key.Even as residents, following PM Modi’s Friday call to show solidarity and battle the pandemic, switched on their mobile phone lights and lit candles and diyas on Sunday at 9 pm, the sound of crackers sounded a jarring note. “This is the height of insanity and insensitivity to celebrate death and disease with so much pomp, show and bursting of crackers. This is a real wake of call for people who love India and the Indian ethos of compassion and humanism above all,” said, Pramod Sharma, who heads Yuvsatta, an NGO. “It was very peaceful initially. People had lit candles in their balconies, many were playing bhajans on their music systems, when suddenly crackers started popping. This was a solemn occasion, not something to celebrate,” said Nayna, a resident of Sector 43.Dr Ravindra Khaiwal , additional professor, environment health, The School of Public Health, Post Graduate Institute of Medical Education and Research, said, “The purpose (of lighting diyas) was for showing solidarity with the citizens who are at the forefront of dealing with the coronavirus outbreak, but a few people resorted to bursting of crackers. That’s an undesired step,” he said. “We are in the midst of a pandemic and people are celebrating as if it’s Diwali,” quipped Mohali mayor Kulwant Singh. Former railways minister and Congressman Pawan Kumar Bansal felt this showed “the over enthusiasm and hype built up over the PM’s announcement. What was supposed to be voluntary action has now become a must-do thing.”Crackers were burst in most parts of the tricity. In some localities, enthusiastic Bharatiya Janata Party workers resorted to sloganeering in favour of their party and PM Modi. “It appears that people, by bursting crackers, did not understand the sensitivity involved in the issue. The call was not for this,” said Dr Pramod Kumar, director, Institute for Development and Communication (IDC), Chandigarh.
460	Hindustan Times	1588290	Amanjeet Singh Salyal	48% Covid-19 positive patients in Chandigarh tricity aged between 21-40	Chandigarh Health authorities have confirmed that majority of the 35 Covid-19 positive patients in the tricity, at 48.6%, are aged between 21 and 40.The age bracket hit the next hardest is between 41 and 60 years at 25.7%. Senior citizens, who are above 60 years, account for 20% of the positive cases, all from Mohali.In Chandigarh, it’s mostly the younger population that has been infected by the virus, as 72% of the 18 positive patients are in the age group of 21-40 years.Experts correlate this with the mobility of the young. “If we see the trend in Chandigarh, the five patients, who had travel history to foreign countries where Covid-19 cases were reported, are all below the age of 35,” said PVM Lakshmi, an epidemiologist at the Community Medicine and School of Public Health, Post Graduate Institute of Medical Education and Research (PGIMER). “The young individuals mostly mix up with their peers more than their families, and this is one reason that more cases were reported among the younger population in Chandigarh,” she added.On the contrary, the maximum cases in Mohali, at 46.6%, are in the 61 to 80 age group, while no one among the Chandigarh or Panchkula cases falls in this age bracket.Dr G Dewan, director health services, Chandigarh, said the disease’s trend here was the same as that found at the national level. Around 83% people infected in the country are below the age of 60, almost a similar trend seen in the tricity. “However, we need to be more cautious with regards to the senior citizens, especially those also suffering from comorbidities like diabetes and hypertension, as these have been associated with severe symptoms and complications,” he added.
645	New Zealand Herald	945097	Newsfeeds@nzherald.co.nz	Covid 19 coronavirus: Huge price hikes for essential goods during lockdown	"A freezer that cost $949 on March 1 shot up to $1499 by March 31 as lockdown conditions limited trade across the country.
  This is just one of a number of products to have seen significant price hikes during the lockdown, according to price comparison site PriceSpy.
  The indexed price across all 108,000 products listed on PriceSpy increased by 5 per cent in March 2020.
  READ MORE:
• Covid 19 coronavirus lockdown: The Warehouse experiences huge demand for essential products
• Covid 19 coronavirus: Briscoes, Mitre 10 join companies selling essential items
• Covid 19 coronavirus: Essential goods expansion brings reprieve for struggling Kiwis
• Coronavirus: Anger over Kmart selling fake tan as essential item but not stocking winter pyjamas
   The biggest growth was seen in chest freezers which surged by 28 per cent between March 1 and 31. What's more is that 90 per cent of the chest freezers listed were found to cost more by the end of the month.
  Webcams, heating and cooling products, washing machines, desktop PCs and ebook readers all shot up in price over this period.
   ""Shockingly, the findings revealed 90 per cent of the top 10 most-click-on chest freezers cost more to buy on 31st March compared to 1st March, before the national Covid-19 alert system was implemented,"" said Liisa Matinvesi-Bassett, New Zealand country manager for PriceSpy.
  ""Similarly, over three quarters [80 per cent] of the top 10 most-clicked-on webcams were more expensive to purchase at the end of the month compared to the start. A similar trend was also apparent for whiteware goods, with 70 per cent of the top 10 most-clicked-on items costing more on 31st March compared to 1st March.""
         The price hikes have been applied across categories. Photo / File   
  Matinvesi-Bassett said that while fluctuations in pricing are to be expected, the price hikes in this instance have been ""extraordinary"".
  ""If we are to compare like-for-like and look at the biggest savings offered across the top 10 most -clicked-on products across the same shopping categories, the most substantial saving found was for the Apple Mac Mini (2018), which cost $190 less on 31st compared to 1st March,"" she said.
         There have been massive differences in prices. Photo / File   
  ""During such unprecedented times, our key piece of advice to consumers who need to make an essential purchase right now is to be vigilant and conduct important price research before they commit and buy, as our insights suggest many products have received a price hike over this last month.""
  This data comes off the back of the Government's decision to allow certain retailers to sell a number of essential goods to get New Zealanders through the lockdown.
   The move allowed the likes of the Warehouse, Noel Leeming, Briscoes and Mitre 10 to sell essential goods, such as heaters, whiteware and computers.
         A number of products have seen a big lift in prices. Image / PriceSpy   
  The decision was made in recognition of the need for people to safely isolate, stay connected to one another and work or study from home.
  The stores have, however, faced massive demand as Kiwis rushed online to get their hands on essentials.
  Key products include heaters, dehumidifiers, light bulbs and globes, hand tools, padlocks, firewood, batteries, sealants and silicones, work boots and gumboots, workwear, torches, spouting, downpipes, smoke alarms, child safety items and small household appliances.
   • Covid19.govt.nz: The Government's official Covid-19 advisory website"
254	Philippine Daily Inquirer	956626	Besguerra	Holy Week rites worldwide disrupted, but not spirit	"Attendees sit by palm branches as Pope Francis celebrates Palm Sunday Mass behind closed doors in St. Peter’s Basilica, at the Vatican, Sunday, April 5, 2020, during the lockdown aimed at curbing the spread of the COVID-19 infection, caused by the novel coronavirus. (AP Photo/pool/Alberto Pizzoli)


MANILA, Philippines s— For Pope Francis at the Vatican, and for Christians worldwide from churches large and small, this will be an Easter like none other: The joyous message of Christ’s resurrection will be delivered to empty pews.

Worries about the coronavirus outbreak have triggered widespread cancellations of Holy Week processions and in-person services. Many pastors will preach on TV or online, tailoring sermons to account for the pandemic.



Many extended families will reunite via Face Time and Zoom rather than around a communal table laden with an Easter feast on April 12.
  

“I’ll miss Mass and the procession,” said Aida Franco, 86, a retired teacher from Quito, Ecuador. “But God knows better.”

Near-empty basilica

Pope Francis, the first Pontiff from Latin America, will be celebrating Mass for Palm Sunday, Holy Thursday and Easter in a near-empty St. Peter’s Basilica, instead of in the huge square outside filled with Catholic faithful.

In the Pope’s native Argentina, the archbishopric of La Plata encouraged the faithful to use any type of plant at home for a “virtual” blessing that will be live-streamed during Palm Sunday services this weekend.

The pandemic has prompted the cancellation of a renowned annual tradition of sawdust and handmade flower carpets coating the streets of Antigua, a colonial Guatemalan city, during its Holy Week procession. Instead, some residents will make smaller carpets to display outside their homes.

“We know this is happening because of some message from God,” said Cesar Alvarez, who has been making the multicolored carpets with his family for 28 years. “But we’re taking it with a lot of sadness.”
				

					
			

In some communities, there are innovative efforts to boost Easter time morale.

Distancing at egg hunt

At Asbury United Methodist Church in Prairie Village, Kansas, family ministries director Heather Jackson is organizing an Easter egg hunt that embraces social distancing.

Parents and children are creating colorful images of Easter eggs to display in windows or on garage doors, and the “hunt” will entail families driving around in their cars, or strolling on foot, trying to spot as many eggs as possible.

“It’s about keeping people safe while maintaining that sense of joy,” Jackson said. “It will be a difficult time because it’s a time for families to come together and right now we just can’t do that.”

If not for the virus, 32-year-old Chris Burton—a writer, teacher and devout Baptist in Brooklyn, New York—would be planning a trip to Maryland for Easter dinner with his family. Instead, he plans to watch the online service of his church, Trinity Baptist, and then catch up with relatives by phone.

Burton, who has experienced five bouts of pneumonia since 2011, has blogged about the need to shelter in place. Yet he still hopes this Easter will rekindle the uplifting emotions he’s cherished since wearing his Easter suit in childhood.

“All that’s happening doesn’t mean we need to be somber,” he said.

Priest-carrying vehicles

In Venezuela, Catholic officials said that after the Holy Week liturgies, some priests would try to take the Blessed Sacrament—the wine and bread of Holy Communion—on a vehicle and, using loudspeakers, invite congregants to join in spirit from their windows and balconies.
				

					
			

A similar use of priest-carrying vehicles was adapted in the Philippines, Asia’s bastion of Catholicism. Locals lined up in front of their homes in several districts of Manila and Quezon City, which are entering its fourth week of a lockdown that has brought the frenetic metropolis nearly to a halt.

The priests made signs of the cross as they rolled past waving residents marking Palm Sunday, the start of the week that culminates with the observance of Easter.

“This celebration will continue despite the spread of the virus,” said Bong Sosa, who attended wearing a mask crafted from a water cooler bottle.

In Brazil, the world’s biggest Catholic country, Rio de Janeiro’s huge Christ the Redeemer statue has been closed indefinitely. Large Holy Week gatherings are banned in several states after a federal court overruled a decree by President Jair Bolsonaro exempting religious services from quarantine measures.

Many faithful across Latin America say they’ll miss Holy Week’s observances, yet there is acceptance of the cancellations.

Health first

“It’s sad because we can’t be with our Lord in his Calvary, but it’s fine,” said Felipe Navarrete of Santiago, Chile. “The health of the population comes first, and we have to be responsible with older people who join these rituals the most.”

Many pastors are pondering their upcoming Easter sermons, including the Rev. Steven Paulikas of All Saints Episcopal Church in Brooklyn. His sermon will be transmitted online but delivered in an empty church.

“It’s started me thinking about the empty tomb,” he said, referring to the biblical account of Christ’s resurrection after his crucifixion.
				

					
			

“That emptiness was actually the first symbol of this new life,” Paulikas said.

On the evening of April 9—Holy Thursday commemorating the Last Supper of Jesus and his apostles—Paulikas is organizing a communal supper for his congregation, hoping members will join via Face Time.

Sounds and images

At St. Ambrose Catholic Church in Brunswick, Ohio, Father Bob Stec is organizing a pre-Easter initiative, arranging for each of the parish’s 5,500 families to get a friendly call from another member.

He’s expecting upwards of 20,000 people to watch the online Easter service.

“We’re going to try to flood their senses visually and audibly with the sounds and images that will give them hope,” he said.

  
           



 Subscribe to Notifications







  Unsubscribe from Notifications



  
    
  
    

    

    
	
	
	  

    
	

    
    Outbrain"
254	Philippine Daily Inquirer	956626	Besguerra	Crucifixion site on lockdown to block penitents	"Local tourists pose by crosses before a re-enactment of the crucifixion of Jesus Christ for Good Friday celebrations ahead of Easter in the village of Cutud near San Fernando, north of Manila on April 14, 2017.
Devotees in the fervently Catholic Philippines nailed themselves to crosses and whipped their backs in extreme acts of faith that have become an annual tourist attraction. / AFP PHOTO / NOEL CELIS		

	
    
    
      CITY OF SAN FERNANDO, Pampanga, Philippines — The new coronavirus is poised to bring to a stop this Holy Week the crucifixion rites in the village of San Pedro Cutud here.

Barangay Cutud, where some 5,000 penitents would end their flagellation and crucifixion on Good Friday, has been placed on total lockdown since Palm Sunday to stop the spread of infection.

Six policemen were sent to the area to guard the three entrances to the village, said Cutud chair Remegio de la Cruz. “I do not want foreigners and local spectators to come,” he told the Inquirer by phone.



The village’s Good Friday events, ending on a version of Calvary, had been drawing 30,000 to 50,000 spectators annually due to real-life crucifixion rites.
  

Hardheaded villagers

“This coronavirus disease must be stopped from being transmitted,” De la Cruz said. “There are some villagers who are hardheaded, but I am strict. So they better obey me or else.”

Ruben Enaje, 59, a house and billboard painter, regularly took on the role of Jesus Christ in “Via Crucis” (Way of the Cross), the play staged on the streets of Cutud.

But local officials have asked Enaje and other penitents to drop the crucifixion rites after President Duterte ordered a stop to the gathering of people in big numbers to curb the spread of COVID-19.

Enaje said he would just carry a 37-kilogram wooden cross from his house to the hill on Good Friday.

—TONETTE OREJAS
				

					
			

  
           



 Subscribe to Notifications







  Unsubscribe from Notifications



  
    
  
    

    

    
	
	
	  

    
	

    
    Outbrain"
254	Philippine Daily Inquirer	956626	Besguerra	COVID-19 patients to waive confidentiality	"COVID-19 patients to waive confidentiality


    
	

		By:  Dona Z. Pazzibugan
				-		47 seconds ago
	


  
  
  
    
      MANILA, Philippines — No less than the country’s top medical and legal groups have called on authorities to disclose the identities of COVID-19 patients and so-called persons under investigation (PUIs), saying many patients continue to withhold their true medical history thus endangering the thinning ranks of healthcare workers.

The Philippine Medical Association and Philippine College of Surgeons together with the Integrated Bar of the Philippines appealed to COVID-19 patients and PUIs to voluntarily waive the confidentiality of their medical information and inform those they have recently been in close contact with.

They also urged the Department of Health to “prudently use and promptly share the medical information” to all concerned so they could take precautionary and remedial measures. Justice Secretary Menardo Guevarra said he “strongly” supported the call and affirmed the “ethical and legal basis” laid down by the Philippine Medical Association and the Data Privacy Commission to justify waiving the medical confidential rule “in times of public health emergency.”



He also strongly supports the call of the Integrated Bar of the Philippines on COVID-19 positive individuals and PUIs “for the waiver of confidentiality of their medical condition,” Guevarra told reporters on Sunday.
  

“This will enable other people they have been in close contact with to take the necessary precautions or remedial measures to protect themselves, without having to further burden the Department of Health with the tedious task of contact tracing,” he added.

The three medical and legal groups made the appeal in a joint statement on April 4, three weeks since the enhanced community quarantine to contain the outbreak.

In justifying their call to waive the medical confidentiality rule, they reported increasing incidents in which COVID-19 patients continue to withhold their true medical condition when seeking treatment or hospital admission “thereby compromising the health institutions and the health workers,” many of whom have died or fell ill from the infectious disease.

Even without the individual waiver, they said, existing laws and rules grant the government “sufficient authority and basis” to lift the confidentiality of the medical condition of COVID-19 patients and PUIs.

These include Republic Act 11332 or the 2018 Law on Reporting of Communicable Diseases, which makes illegal the “non-cooperation of persons and entities” in times of public health emergencies.
				

					
			

The confidentiality of a patient’s medical data and details is “not absolute” and can be lifted “when the public health and safety so demand” or “when the patient waives his right,” the three groups pointed out.

Article III Section 3 of the Code of Ethics of the Medical Profession, they said, exempts a physician from keeping private and highly confidential a person’s medical information “when required by law, ordinance or administrative order in the promotion of justice, safety and public health.”

The Health Privacy Code specifying the Joint Administrative Order No. 2016-0002 or the privacy guidelines for the implementation of the Philippine Health Information Exchange, also allows that “in case of emergency where time is of the essence, disclosure may be made even without court order.”

  
           



 Subscribe to Notifications







  Unsubscribe from Notifications



  
    
  
    

    

    
	
	
	  

    
	

    
    Outbrain"
